file | parser | exit code
---|---|---
p-json-comment.txt | json.load | 1
p-json-missing-brace.txt | json.load | 1
p-json-single.txt | json.load | 1
p-json-trailing-comma.txt | json.load | 1
p-json-unclosed-string.txt | json.load | 1
p-json-unquoted.txt | json.load | 1
p-yaml-bad-indent.txt | yaml.safe_load | 1
p-yaml-multi-dash.txt | yaml.safe_load | 1
p-yaml-tab-char.txt | yaml.safe_load | 1
p-yaml-unclosed-flow.txt | yaml.safe_load | 1
n-empty.txt | yaml.safe_load | 0
n-valid-json.txt | json.load | 0
n-valid-yaml.txt | yaml.safe_load | 0
